ISO19115_19110,NADA geosptial metadata
mdb:MD_Metadata/mdb:spatialRepresentationInfo/msr:MD_VectorSpatialRepresentation/msr:geometricObjects/msr:MD_GeometricObjects/msr:geometricObjectType/msr:MD_GeometricObjectTypeCode/@codeListValue,description/spatialRepresentationInfo/vectorSpatialRepresentation/geometricObjects/geometricObjectType
mdb:MD_Metadata/mdb:spatialRepresentationInfo/msr:MD_VectorSpatialRepresentation/msr:geometricObjects/msr:MD_GeometricObjects/msr:geometricObjectCount/gco:Integer,description/spatialRepresentationInfo/vectorSpatialRepresentation/geometricObjects/geometricObjectCount
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/cat:name/gco:CharacterString,description/feature_catalogue/name
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/cat:scope/gco:CharacterString,description/feature_catalogue/scope
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/cat:versionNumber/gco:CharacterString,description/feature_catalogue/versionNumber
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/cat:versionDate/gco:Date,description/feature_catalogue/versionDate/date
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/gfc:featureType/gfc:FC_FeatureType/gfc:typeName,description/feature_catalogue/featureType/typeName
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/gfc:featureType/gfc:FC_FeatureType/gfc:definition/gco:CharacterString,description/feature_catalogue/featureType/definition
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/gfc:featureType/gfc:FC_FeatureType/gfc:isAbstract/gco:Boolean,description/feature_catalogue/featureType/isAbstract
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/gfc:featureType/gfc:FC_FeatureType/gfc:carrierOfCharacteristics/gfc:FC_FeatureAttribute/gfc:memberName,description/feature_catalogue/featureType/carrierOfCharacteristics/memberName
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/gfc:featureType/gfc:FC_FeatureType/gfc:carrierOfCharacteristics/gfc:FC_FeatureAttribute/gfc:definition,description/feature_catalogue/featureType/carrierOfCharacteristics/definition
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/gfc:featureType/gfc:FC_FeatureType/gfc:carrierOfCharacteristics/gfc:FC_FeatureAttribute/gfc:cardinality/gco:CharacterString,description/feature_catalogue/featureType/carrierOfCharacteristics/cardinality/lower
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/gfc:featureType/gfc:FC_FeatureType/gfc:carrierOfCharacteristics/gfc:FC_FeatureAttribute/gfc:cardinality/gco:CharacterString,description/feature_catalogue/featureType/carrierOfCharacteristics/cardinality/upper
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/gfc:featureType/gfc:FC_FeatureType/gfc:carrierOfCharacteristics/gfc:FC_FeatureAttribute/gfc:valueType/gco:TypeName/gco:aName/gco:CharacterString,description/feature_catalogue/featureType/carrierOfCharacteristics/valueType
mdb:MD_Metadata/mdb:contentInfo/mrc:MD_FeatureCatalogue/mrc:featureCatalogue/gfc:FC_FeatureCatalogue/gfc:featureType/gfc:FC_FeatureType/gfc:carrierOfCharacteristics/gfc:FC_FeatureAttribute/gfc:listedValue/gfc:FC_ListedValue/gfc:label/gco:CharacterString,description/feature_catalogue/featureType/carrierOfCharacteristics/listedValue/label
